# 20250602_134206
alpha,Re@phiIm@phi,Re@DphiIm@Dphi
0.5597630.1,0,0,0
0.5613360.1,0,0,0
0.5629080.1,0,0,0
0.564480.1,0,0,0
0.5660530.1,0,0,0
0.5676250.1,0,0,0
0.5691970.1,0,0,0
0.570770.1,0,0,0
0.5723420.1,0,0,0
0.5739150.1,0,0,0
0.5754870.1,0,0,0
0.5770590.1,0,0,0
0.5786320.1,0,0,0
0.5802040.1,0,0,0
0.5817760.1,0,0,0
0.5833490.1,0,0,0
0.5849210.1,0,0,0
0.5864940.1,0,0,0
0.5880660.1,0,0,0
0.5896380.1,0,0,0
0.5912110.1,0,0,0
0.5927830.1,0,0,0
0.5943550.1,0,0,0
0.5959280.1,0,0,0
0.59750.1,0,0,0
0.5990720.1,0,0,0
0.6006450.1,0,0,0
0.6022170.1,0,0,0
0.603790.1,0,0,0
0.6053620.1,0,0,0
0.6069340.1,0,0,0
0.6085070.1,0,0,0
0.6100790.1,0,0,0
0.6116510.1,0,0,0
0.6132240.1,0,0,0
0.6147960.1,0,0,0
0.6163690.1,0,0,0
0.6179410.1,0,0,0
0.6195130.1,0,0,0
0.6210860.1,0,0,0
0.6226580.1,0,0,0
0.624230.1,0,0,0
0.6258030.1,0,0,0
0.6273750.1,0,0,0
0.6289470.1,0,0,0
0.630520.1,0,0,0
0.6320920.1,0,0,0
0.6336650.1,0,0,0
0.6352370.1,0,0,0
0.6368090.1,0,0,0
0.6383820.1,0,0,0
0.6399540.1,0,0,0
0.6415260.1,0,0,0
0.6430990.1,0,0,0
0.6446710.1,0,0,0
0.6462440.1,0,0,0
0.6478160.1,0,0,0
0.6493880.1,0,0,0
0.6509610.1,0,0,0
0.6525330.1,0,0,0
0.6541050.1,0,0,0
0.6556780.1,0,0,0
0.657250.1,0,0,0
0.6588220.1,0,0,0
0.6603950.1,0,0,0
0.6619670.1,0,0,0
0.663540.1,0,0,0
0.6651120.1,0,0,0
0.6666840.1,0,0,0
0.6682570.1,0,0,0
0.6698290.1,0,0,0
0.6714010.1,0,0,0
0.6729740.1,0,0,0
0.6745460.1,0,0,0
0.6761190.1,0,0,0
0.6776910.1,0,0,0
0.6792630.1,0,0,0
0.6808360.1,0,0,0
0.6824080.1,0,0,0
0.683980.1,0,0,0
