alpha,tau,r,Dtau,Dr
0.5024830335274341,14.851306339499489,7.769330842059314,-5.434057372221723,15.160458453524477
0.5056712502692855,14.833537721848728,7.8174449543358815,-5.689936686266642,15.034449888378452
0.510855215675782,14.804148277919957,7.89551984305946,-5.564109408177277,15.135051015107884
0.5166681244429111,14.770466956599995,7.982832580972949,-6.213431710158064,14.797799509966698
0.5179472627805768,14.762434984149131,8.00171698391757,-6.329615278303692,14.73758086016657
0.5213261865633433,14.741017562156864,8.051520029088639,-6.300724356820551,14.767441908851431
0.5311718199429837,14.676905870358121,8.195920089406336,-7.043395042062964,14.374170488207207
0.5311917733340904,14.676765296180067,8.196206882840736,-7.04686023783314,14.372164083883892
0.5430461636414712,14.591095608211003,8.365500638836219,-7.000561773961607,14.434717218318255
0.5460882500081888,14.568421465006677,8.408586705219927,-7.85314625301336,13.923675074982732
0.5470706404770027,14.560637051902518,8.422223632027018,-7.977330192239968,13.849577483803131
0.5505201027318394,14.533049766936777,8.46995940756089,-8.003959543044278,13.835662498642574
0.5541226204169301,14.503813003951059,8.519562694449517,-8.207556064542667,13.71501408844247
0.561539659262185,14.442192567148437,8.620826214370265,-8.721003772058163,13.393038868164723
0.5644767113549735,14.416102714993903,8.659863519537533,-8.970332071437795,13.236266827173097
0.5720793113544286,14.347021110405867,8.759880351268844,-9.301139713976522,13.0114369439388
0.5743669702320029,14.325804953172671,8.789683448425778,-9.24339187704341,13.046352325286977
0.5776829846060804,14.294690723041706,8.83263287358063,-9.659400531813779,12.768133729923662
0.5804653861827777,14.267163055558424,8.867723337984604,-10.027643747900385,12.51983613954999
0.5836078710266193,14.23569613290289,8.907075994338868,-10.03839610453058,12.498896578902455
0.5912291565120424,14.157698392304392,9.001244494445606,-10.105702678113769,12.428634915628681
0.5947405568384275,14.120944725083119,9.044001434210571,-10.866022640440047,11.898537941002202
0.596003070398188,14.107130473495125,9.058954338852967,-10.992635082963773,11.805773321580602
0.5982233975660951,14.082668206654192,9.085114552151195,-11.041188809488212,11.759095915431839
0.6007847142102432,14.054183801206726,9.115073908123094,-11.221148904317033,11.620514802474982
0.6070781934485789,13.982972787588057,9.187667147067103,-11.26865662068749,11.546311266552678
0.6130291200133219,13.914016984442373,9.254927167414849,-12.04560408510244,10.958150091236341
0.6146361560206879,13.894556298858344,9.272453620116345,-12.156001748869794,10.866310257916746
0.6168797680648519,13.867190002065383,9.296744848502128,-12.241380217404156,10.785486459691555
0.6194046579330019,13.836117986313674,9.323830970393734,-12.373581443984449,10.667795765295764
0.6219060964202151,13.805045970561967,9.350399984991308,-12.450747883889989,10.588931496534569
0.6281285299438791,13.726497053149187,9.415318512620738,-12.893650469262761,10.204121268770425
0.6306861595131075,13.693687281330458,9.441505877440473,-12.77504007597891,10.264506994065734
0.6330460402147864,13.663141188767812,9.465405890689942,-13.206387776557678,9.92169257539258
0.6347685288364674,13.640122233156818,9.482279184015418,-13.456577615525127,9.717208368406649
0.6370615992235091,13.609261265180457,9.50452464960464,-13.469619796265622,9.677948833996595
0.6393365033218021,13.578400297204096,9.526346733179974,-13.681685067055962,9.492988038320446
0.6482619827708633,13.45495642529865,9.609532194296264,-14.311124134495904,8.8911714635262
0.652290130216569,13.39800681689379,9.645772604221234,-13.994188148744342,9.078270885225635
0.6556578901683944,13.34980074178079,9.675433995914558,-14.664733230823572,8.512123477562309
0.6562979138091445,13.340393996679692,9.68086253300302,-14.722915690707424,8.457027590660402
0.6581809778728894,13.312605965679216,9.696709081607677,-14.79071959525858,8.373438632202777
0.6601249347309832,13.283745052005314,9.712871285200357,-14.900772462330597,8.255692197211674
0.662057082013435,13.25488413833141,9.728735703183132,-14.968479162740886,8.169670495952097
0.6696720123647285,13.1394404836358,9.789294347421267,-15.337290852552528,7.744587295258555
0.6714523934804815,13.112060235131105,9.802994515640913,-15.421019285619899,7.645035080903112
0.6735822715069346,13.07911208148446,9.819152758103204,-15.517347967143962,7.528222627346261
0.6751667796369265,13.054464446848748,9.831009109185926,-15.59477705121843,7.435920818464659
0.6770877830919959,13.024427206971621,9.84519402294108,-15.666269215947512,7.341432681963023
0.6826396643109348,12.936659815134105,9.88500847899998,-16.13189842054444,6.852694551938329
0.684544119169426,12.905783007948195,9.89789519157713,-16.26633910320798,6.702721577537771
0.6869949056389814,12.86580698646372,9.914166264860679,-16.363095863640094,6.57010851186099
0.6884353535922922,12.842188257373058,9.923567492916177,-16.429492799702743,6.483819697830683
0.6901987356813756,12.813151271010902,9.93491230507186,-16.5035604952459,6.383356662856679
0.6945719267468907,12.74055880510551,9.962263755142816,-16.693755526181523,6.125837921799964
0.6963020505101981,12.711613110929582,9.972774461976277,-16.767224787690534,6.0241673952037385
0.6982425840301211,12.678995688727852,9.984353173165108,-16.8495897663028,5.909341735325231
0.6996541296451746,12.655169727425386,9.992635428949857,-16.90905862215937,5.825626888899304
0.7013954302054565,12.625662379934218,10.002689460838479,-16.981972873800114,5.722090931929921
0.7057165226405474,12.551894011206295,10.026857645748622,-17.161731061039234,5.463027783867858
0.7097481781205516,12.48237543045744,10.048397121792798,-17.3236126482998,5.2223972842775375
0.7123388144237808,12.437358078394954,10.061720827149816,-17.429491368760793,5.0640797100044725
0.7135143827297105,12.416841955018839,10.067632965284089,-17.474631518613272,4.994263772678352
0.7150391677282122,12.390149786920004,10.075176626057832,-17.537330350279134,4.899570071188123
0.7165633737181378,12.3633764297296,10.08257640746658,-17.589732529641672,4.813391360539157
0.7190089057229757,12.320199742648159,10.094126971276062,-17.765604718568426,4.59338670385128
0.7210862950281122,12.283056358158388,10.103401507825376,-17.960456076702584,4.364795077530516
0.7248326328664579,12.2156226832555,10.11942351884012,-18.063258039992377,4.167207753851196
0.7263675877755641,12.187848762211338,10.125743862427036,-18.12234758012925,4.070522470500894
0.7279151492671367,12.15976275501196,10.131972314675615,-18.175231985837208,3.978357507169703
0.7293346335649046,12.13392777309292,10.137558294004057,-18.22508947121556,3.8921750179394152
0.7307503140605051,12.108092791173881,10.14300824674468,-18.273007716376533,3.807359566780867
0.7363763523534109,12.004752863497725,10.163471873718983,-18.46161134052239,3.4675866056899025
0.737783410771692,11.978744116491479,10.168291366675835,-18.50730764164225,3.382835790788376
0.739502772981157,11.94687575798814,10.17401861617428,-18.562526789157445,3.279247570865804
0.7407701212421767,11.923325074070481,10.178126221421925,-18.602693366725987,3.2029634880873914
0.7422861012494297,11.89508769123538,10.182912714612733,-18.650177601686366,3.111766332931132
0.7460595000860804,11.824494234147629,10.19422700177829,-18.765505823576518,2.885225269551995
0.749918820291051,11.751851278602631,10.204916039932938,-18.879245777346213,2.6542430132923265
0.751629395501448,11.71951489885304,10.209369007185584,-18.92821038660055,2.5521939346545364
0.753075069722446,11.692121392919589,10.212996414308071,-18.968887671150238,2.466123559456663
0.7542029125145082,11.670709789969534,10.215740003042393,-19.00017271440415,2.399091256900647
0.7553289130119274,11.649298187019479,10.218403752991591,-19.03101177316552,2.3322734561386045
0.7598151344508932,11.563651775219256,10.228271545964036,-19.14984919273422,2.0672491508893738
0.763059743065636,11.50138425374946,10.234669798367477,-19.231720747581182,1.876873061115294
0.7644602937904961,11.4744252193768,10.237241175926323,-19.265929095748657,1.7951210157584918
0.7656209001231916,11.452048846535053,10.239285371867052,-19.293799854725847,1.7275349744190294
0.7670458055448387,11.424532977439378,10.24168795160549,-19.327402106375253,1.6447840053743992
0.7705975249785211,11.355743304700193,10.247165529933508,-19.407856442135085,1.439973390930902
0.7741490524073605,11.286679236812056,10.251918492126158,-19.483970617748618,1.2369519303641603
0.7755883548270013,11.25861457741848,10.253640030551914,-19.513485327035248,1.1552943580703183
0.7770522989745392,11.230026438265947,10.255270758632873,-19.542706405854883,1.072625723017417
0.7784615246525364,11.20246696716105,10.25672646267156,-19.570104318140977,0.9933916945495369
0.77986880641367,11.174907496056154,10.258068981973537,-19.596715554979056,0.9146432593147482
0.7838202872050863,11.097330036483969,10.261249617629936,-19.66740188319796,0.6956206868819454
0.786101888324481,11.052413001759188,10.26269389907897,-19.705487183386843,0.5706215161447741
0.7874665081011107,11.025507550222128,10.263421901636775,-19.72728944308401,0.49640789947980296
0.7886939360441244,11.001282000827901,10.263990412993113,-19.74629197064249,0.42999534028971453
0.7899202024855906,10.977056451433674,10.264477199020178,-19.76467885797957,0.36399425828443155
0.7948144470674672,10.880154253856762,10.265620287643829,-19.832179419238074,0.10406570808485327
0.7959991471690561,10.8566501627857,10.265706769081486,-19.8471165468613,0.04199472323759901
0.7974667717979299,10.827508974032982,10.265712311202583,-19.864777612553667,-0.0343420687623894
0.7985898865689792,10.805191227470532,10.265641103028194,-19.877745118412413,-0.09242297931126586
0.7999600551778167,10.777944877562817,10.265466139285333,-19.89291161590006,-0.16286839687870724
0.8033811717304133,10.70982900279353,10.264611498333668,-19.92726044678284,-0.3363504884719646
0.8063437943742797,10.650752270856898,10.263395202711893,-19.953423381801482,-0.48423247942779746
0.8086621724214754,10.604471633218244,10.262140362725754,-19.971239962979492,-0.5980387072245641
0.8096940085012598,10.583860809822653,10.261497372793555,-19.97849152497369,-0.6482138096002075
0.8109190447513452,10.55938143470181,10.260666995985863,-19.986553505306937,-0.7073920767765394
0.8139796375059883,10.498182996899706,10.258277962120387,-20.004031937283145,-0.8532816948213053
0.8170455224896034,10.436830905848737,10.255441459650951,-20.017795533009696,-0.9966284630343267
0.8182836129164933,10.412044224230165,10.25417216760748,-20.022277126835387,-1.0536901902446922
0.8196075992670925,10.385532214218829,10.2527370028467,-20.026371795733674,-1.1141628003230843
0.8208999463011643,10.359648967966553,10.251259255530677,-20.02970676868194,-1.1726742129545293
0.8221920991904857,10.333765721714277,10.249706460893668,-20.032382517019673,-1.2306556981405155
0.8273596508539707,10.230232736705176,10.242758523369861,-20.03634747102373,-1.4570404136286683
0.828930612258332,10.198756945192631,10.24041673087523,-20.035490661897114,-1.5241605661009099
0.8306224673018674,10.164861386924189,10.23777761914411,-20.033423354639613,-1.5954607077228526
0.8317353736946487,10.142567104794729,10.23597616532191,-20.03147536823333,-1.6418630809193857
0.8330549343703473,10.11613620304798,10.23377360159829,-20.028562019097418,-1.6963637028447964
0.8363548839124738,10.050058948681107,10.227954342514284,-20.01815631229556,-1.8298770482845725
0.8399457265395069,9.978204009129984,10.221128714273087,-20.002257156924447,-1.971085827856669
0.841845311065898,9.940217737014736,10.21731510457906,-19.991798129061877,-2.0438929818511857
0.8431590739267617,9.913958466314865,10.214597267915087,-19.98376004734771,-2.093493405056229
0.8443402773340882,9.890358114830278,10.212098337155695,-19.975998049416745,-2.137586911352045
0.8455219553844092,9.866757763345692,10.209546582105963,-19.967702594241118,-2.1811909028943397
0.848677239617322,9.803792001352036,10.202483586553761,-19.943040888077952,-2.295197682831008
0.8502587858738191,9.772261883303074,10.198809363146852,-19.929314691385155,-2.3510053474752795
0.8515253889687546,9.747026685449208,10.195803639955235,-19.917638485808013,-2.3950157008938575
0.8537020759930793,9.703695196086187,10.19050926712588,-19.896247050949817,-2.4693159430752303
0.8567920209319774,9.642267415214011,10.18271995197633,-19.862979770837192,-2.571819992606624
0.859233239721447,9.593812078454944,10.176345289810843,-19.83433917062652,-2.6503451979700667
0.8603351561717797,9.571963746268066,10.173405651113814,-19.820742686659685,-2.6850817779227327
0.8616452033367165,9.546008528217293,10.169861340621386,-19.804012740619523,-2.725770608461385
0.864925344213939,9.481120483090356,10.160756822992361,-19.7596342080609,-2.824945049541952
0.8669854759170661,9.440443320384027,10.154874637894688,-19.729972353367078,-2.885257640351384
