#: table_doi: 10.17182/hepdata.61925.v1/t3
#: name: Table 3
#: description: pT-differential invariant yield of pion+ and pion- for centrality 10-20%.

#: data_file: Table_3.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
1.75,1.7,1.8,1.945,0.012,-0.012,0.125,-0.125,0.7%,-0.7%
1.85,1.8,1.9,1.439,0.01,-0.01,0.095,-0.095,0.7%,-0.7%
1.95,1.9,2.0,1.091,0.011,-0.011,0.074,-0.074,0.7%,-0.7%
2.05,2.0,2.1,0.8108,0.0085,-0.0085,0.0562,-0.0562,0.7%,-0.7%
2.1500000000000004,2.1,2.2,0.6265,0.0084,-0.0084,0.0448,-0.0448,0.7%,-0.7%
2.25,2.2,2.3,0.4767,0.0052,-0.0052,0.0353,-0.0353,0.7%,-0.7%
2.3499999999999996,2.3,2.4,0.374,0.0045,-0.0045,0.0287,-0.0287,0.7%,-0.7%
2.45,2.4,2.5,0.2842,0.0064,-0.0064,0.0226,-0.0226,0.7%,-0.7%
2.55,2.5,2.6,0.2235,0.0052,-0.0052,0.0185,-0.0185,0.7%,-0.7%
2.6500000000000004,2.6,2.7,0.1795,0.0056,-0.0056,0.0155,-0.0155,0.7%,-0.7%
2.75,2.7,2.8,0.1378,0.003,-0.003,0.0125,-0.0125,0.7%,-0.7%
2.8499999999999996,2.8,2.9,0.1086,0.0021,-0.0021,0.0103,-0.0103,0.7%,-0.7%
2.95,2.9,3.0,0.08677,0.00263,-0.00263,0.00861,-0.00861,0.7%,-0.7%

#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,920.6,5.1,-5.1,112.1,-112.1,0.7%,-0.7%
0.13,0.12,0.14,836.4,3.4,-3.4,95.4,-95.4,0.7%,-0.7%
0.15000000000000002,0.14,0.16,751.4,2.6,-2.6,85.3,-85.3,0.7%,-0.7%
0.16999999999999998,0.16,0.18,676.4,2.2,-2.2,76.8,-76.8,0.7%,-0.7%
0.19,0.18,0.2,608.7,1.8,-1.8,69.2,-69.2,0.7%,-0.7%
0.225,0.2,0.25,500.1,1.0,-1.0,35.3,-35.3,0.7%,-0.7%
0.275,0.25,0.3,384.6,0.8,-0.8,26.9,-26.9,0.7%,-0.7%
0.32499999999999996,0.3,0.35,300.3,0.6,-0.6,22.3,-22.3,0.7%,-0.7%
0.375,0.35,0.4,237.6,0.5,-0.5,16.3,-16.3,0.7%,-0.7%
0.42500000000000004,0.4,0.45,189.2,0.4,-0.4,12.6,-12.6,0.7%,-0.7%
0.475,0.45,0.5,150.8,0.4,-0.4,10.0,-10.0,0.7%,-0.7%
0.525,0.5,0.55,119.2,0.3,-0.3,5.9,-5.9,0.7%,-0.7%
0.575,0.55,0.6,97.14,0.24,-0.24,4.59,-4.59,0.7%,-0.7%
0.625,0.6,0.65,79.99,0.24,-0.24,4.04,-4.04,0.7%,-0.7%
0.675,0.65,0.7,65.63,0.21,-0.21,3.29,-3.29,0.7%,-0.7%
0.725,0.7,0.75,54.38,0.19,-0.19,2.72,-2.72,0.7%,-0.7%
0.775,0.75,0.8,45.1,0.17,-0.17,2.25,-2.25,0.7%,-0.7%
0.825,0.8,0.85,37.51,0.16,-0.16,1.84,-1.84,0.7%,-0.7%
0.875,0.85,0.9,31.57,0.14,-0.14,1.54,-1.54,0.7%,-0.7%
0.925,0.9,0.95,26.64,0.14,-0.14,1.29,-1.29,0.7%,-0.7%
0.975,0.95,1.0,22.48,0.12,-0.12,1.09,-1.09,0.7%,-0.7%
1.05,1.0,1.1,17.41,0.07,-0.07,0.85,-0.85,0.7%,-0.7%
1.15,1.1,1.2,12.5,0.06,-0.06,0.6,-0.6,0.7%,-0.7%
1.25,1.2,1.3,9.079,0.034,-0.034,0.547,-0.547,0.7%,-0.7%
1.35,1.3,1.4,6.614,0.028,-0.028,0.4,-0.4,0.7%,-0.7%
1.45,1.4,1.5,4.891,0.021,-0.021,0.299,-0.299,0.7%,-0.7%
1.55,1.5,1.6,3.547,0.018,-0.018,0.219,-0.219,0.7%,-0.7%
1.65,1.6,1.7,2.597,0.017,-0.017,0.163,-0.163,0.7%,-0.7%
1.75,1.7,1.8,1.946,0.012,-0.012,0.124,-0.124,0.7%,-0.7%
1.85,1.8,1.9,1.445,0.01,-0.01,0.094,-0.094,0.7%,-0.7%
1.95,1.9,2.0,1.101,0.011,-0.011,0.074,-0.074,0.7%,-0.7%
2.05,2.0,2.1,0.8263,0.0087,-0.0087,0.0569,-0.0569,0.7%,-0.7%
2.1500000000000004,2.1,2.2,0.6221,0.0083,-0.0083,0.0442,-0.0442,0.7%,-0.7%
2.25,2.2,2.3,0.4812,0.0053,-0.0053,0.0353,-0.0353,0.7%,-0.7%
2.3499999999999996,2.3,2.4,0.3754,0.0045,-0.0045,0.0286,-0.0286,0.7%,-0.7%
2.45,2.4,2.5,0.2865,0.0065,-0.0065,0.0227,-0.0227,0.7%,-0.7%
2.55,2.5,2.6,0.2275,0.0053,-0.0053,0.0187,-0.0187,0.7%,-0.7%
2.6500000000000004,2.6,2.7,0.1811,0.0056,-0.0056,0.0156,-0.0156,0.7%,-0.7%
2.75,2.7,2.8,0.1396,0.0031,-0.0031,0.0125,-0.0125,0.7%,-0.7%
2.8499999999999996,2.8,2.9,0.1097,0.0022,-0.0022,0.0103,-0.0103,0.7%,-0.7%
2.95,2.9,3.0,0.08713,0.00264,-0.00264,0.00856,-0.00856,0.7%,-0.7%

